

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

RUN: run status: enemy: 5; fitness: -6.20050917404269; player life: 0; enemy life: 100; time: 493

RUN: run status: enemy: 5; fitness: 2.732244721017887; player life: 6.400000000000233; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 90.09531660910582; player life: 62.20000000000034; enemy life: 0; time: 457

RUN: run status: enemy: 5; fitness: 24.392244721017892; player life: 43.00000000000029; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 47.2054134191235; player life: 0; enemy life: 40.0; time: 893

RUN: run status: enemy: 5; fitness: 24.392244721017892; player life: 43.00000000000029; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 85.42330840240872; player life: 19.600000000000236; enemy life: 0; time: 690

RUN: run status: enemy: 5; fitness: 36.21224472101789; player life: 71.20000000000027; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 75.03224472101789; player life: 9.400000000000231; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 86.99307397402961; player life: 29.20000000000026; enemy life: 0; time: 375

RUN: run status: enemy: 5; fitness: 87.30691377820123; player life: 33.40000000000027; enemy life: 0; time: 417

RUN: run status: enemy: 5; fitness: -6.214608098422191; player life: 0; enemy life: 100; time: 500

RUN: run status: enemy: 5; fitness: 30.00853545289202; player life: 0; enemy life: 60.0; time: 400

RUN: run status: enemy: 5; fitness: 39.09191706183107; player life: 0; enemy life: 50.0; time: 368

RUN: run status: enemy: 5; fitness: 36.21224472101789; player life: 71.20000000000027; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 2.633529552268562; player life: 0; enemy life: 90.0; time: 582

RUN: run status: enemy: 5; fitness: 18.09224472101789; player life: 70.00000000000028; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 11.504734444062992; player life: 0; enemy life: 80.0; time: 662

RUN: run status: enemy: 5; fitness: -3.0877552789821086; player life: 38.20000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 84.55663905423376; player life: 12.40000000000023; enemy life: 0; time: 799

RUN: run status: enemy: 5; fitness: 86.3100817217735; player life: 26.20000000000025; enemy life: 0; time: 550

RUN: run status: enemy: 5; fitness: 19.772244721017877; player life: 86.80000000000013; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -0.867755278982103; player life: 60.40000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -1.3477552789821043; player life: 55.60000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -1.9477552789821058; player life: 49.60000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 65.91550058692482; player life: 0; enemy life: 20.0; time: 439

RUN: run status: enemy: 5; fitness: -6.593044534142437; player life: 0; enemy life: 100; time: 730

RUN: run status: enemy: 5; fitness: 1.1122447210178823; player life: 80.20000000000019; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 56.719604161039804; player life: 0; enemy life: 30.0; time: 534

RUN: run status: enemy: 5; fitness: 90.2161129328935; player life: 62.20000000000034; enemy life: 0; time: 405

RUN: run status: enemy: 5; fitness: -6.645090969505644; player life: 0; enemy life: 100; time: 769

